UNIXtime	sensor	watts
1340745151 	1 	00000
1340745155 	2 	00083
1340745158 	1 	00000
1340745158 	0 	00229
1340745161 	2 	00082
1340745164 	1 	00000
1340745164 	0 	00229
1340745167 	2 	00083
1340745170 	1 	00000
1340745170 	0 	00231
1340745173 	2 	00083
1340745176 	1 	00000
1340745177 	0 	00233
1340745180 	2 	00084
1340745182 	1 	00000
1340745183 	0 	00232
1340745186 	2 	00083
1340745188 	1 	00000
1340745191 	0 	00230
1340745192 	2 	00083
1340745194 	1 	00000
1340745194 	0 	00231
1340745198 	2 	00083
1340745200 	1 	00000
1340745201 	0 	00230
1340745204 	2 	00083
1340745206 	1 	00000
1340745207 	0 	00230
1340745210 	2 	00084
